"GENE_NAME","Sumo","Diff","minLogP"
"CDC45","LAZSUL",NA,NA
"CDC45","NSMCE2",NA,NA
"CDC45","PIAS1",NA,NA
"CDC45","PIAS2",NA,NA
"CDC45","PIAS3",NA,NA
"CDC45","PIAS4","5.05","13.63"
"CDC45","ZMIZ2",NA,NA
"CDC45","ZNF451",NA,NA
"CDC7","LAZSUL",NA,NA
"CDC7","NSMCE2","4.03","2.57"
"CDC7","PIAS1",NA,NA
"CDC7","PIAS2",NA,NA
"CDC7","PIAS3",NA,NA
"CDC7","PIAS4","5.94","6.18"
"CDC7","ZMIZ2",NA,NA
"CDC7","ZNF451",NA,NA
"CDCA7L","LAZSUL",NA,NA
"CDCA7L","NSMCE2","4.99","6.11"
"CDCA7L","PIAS1",NA,NA
"CDCA7L","PIAS2",NA,NA
"CDCA7L","PIAS3",NA,NA
"CDCA7L","PIAS4",NA,NA
"CDCA7L","ZMIZ2",NA,NA
"CDCA7L","ZNF451",NA,NA
"CDK1;CDC2","LAZSUL",NA,NA
"CDK1;CDC2","NSMCE2",NA,NA
"CDK1;CDC2","PIAS1",NA,NA
"CDK1;CDC2","PIAS2",NA,NA
"CDK1;CDC2","PIAS3",NA,NA
"CDK1;CDC2","PIAS4","3.51","2.58"
"CDK1;CDC2","ZMIZ2",NA,NA
"CDK1;CDC2","ZNF451",NA,NA
"CDK11B","LAZSUL",NA,NA
"CDK11B","NSMCE2","6.85","4.51"
"CDK11B","PIAS1",NA,NA
"CDK11B","PIAS2",NA,NA
"CDK11B","PIAS3",NA,NA
"CDK11B","PIAS4","5.62","2.93"
"CDK11B","ZMIZ2",NA,NA
"CDK11B","ZNF451",NA,NA
"CDK12","LAZSUL",NA,NA
"CDK12","NSMCE2",NA,NA
"CDK12","PIAS1",NA,NA
"CDK12","PIAS2",NA,NA
"CDK12","PIAS3",NA,NA
"CDK12","PIAS4",NA,NA
"CDK12","ZMIZ2","0.14","0.5"
"CDK12","ZNF451",NA,NA
"CDK2","LAZSUL",NA,NA
"CDK2","NSMCE2",NA,NA
"CDK2","PIAS1",NA,NA
"CDK2","PIAS2",NA,NA
"CDK2","PIAS3",NA,NA
"CDK2","PIAS4",NA,NA
"CDK2","ZMIZ2","1.26","0.68"
"CDK2","ZNF451",NA,NA
"CDK9","LAZSUL",NA,NA
"CDK9","NSMCE2",NA,NA
"CDK9","PIAS1",NA,NA
"CDK9","PIAS2",NA,NA
"CDK9","PIAS3",NA,NA
"CDK9","PIAS4",NA,NA
"CDK9","ZMIZ2","0.5","0.17"
"CDK9","ZNF451",NA,NA
"CEBPB","LAZSUL",NA,NA
"CEBPB","NSMCE2",NA,NA
"CEBPB","PIAS1",NA,NA
"CEBPB","PIAS2",NA,NA
"CEBPB","PIAS3",NA,NA
"CEBPB","PIAS4","6.65","16.83"
"CEBPB","ZMIZ2",NA,NA
"CEBPB","ZNF451",NA,NA
"CFL1;CFL2","LAZSUL",NA,NA
"CFL1;CFL2","NSMCE2",NA,NA
"CFL1;CFL2","PIAS1","4.41","2.87"
"CFL1;CFL2","PIAS2",NA,NA
"CFL1;CFL2","PIAS3",NA,NA
"CFL1;CFL2","PIAS4",NA,NA
"CFL1;CFL2","ZMIZ2",NA,NA
"CFL1;CFL2","ZNF451",NA,NA
"CHD1","LAZSUL",NA,NA
"CHD1","NSMCE2",NA,NA
"CHD1","PIAS1",NA,NA
"CHD1","PIAS2",NA,NA
"CHD1","PIAS3",NA,NA
"CHD1","PIAS4",NA,NA
"CHD1","ZMIZ2","0.36","1.98"
"CHD1","ZNF451",NA,NA
"CHD1L","LAZSUL",NA,NA
"CHD1L","NSMCE2",NA,NA
"CHD1L","PIAS1",NA,NA
"CHD1L","PIAS2",NA,NA
"CHD1L","PIAS3",NA,NA
"CHD1L","PIAS4","3.87","4.72"
"CHD1L","ZMIZ2",NA,NA
"CHD1L","ZNF451",NA,NA
"CLK1","LAZSUL",NA,NA
"CLK1","NSMCE2",NA,NA
"CLK1","PIAS1",NA,NA
"CLK1","PIAS2",NA,NA
"CLK1","PIAS3",NA,NA
"CLK1","PIAS4",NA,NA
"CLK1","ZMIZ2","0.33","0.29"
"CLK1","ZNF451",NA,NA
"CLK3","LAZSUL",NA,NA
"CLK3","NSMCE2",NA,NA
"CLK3","PIAS1",NA,NA
"CLK3","PIAS2",NA,NA
"CLK3","PIAS3",NA,NA
"CLK3","PIAS4",NA,NA
"CLK3","ZMIZ2","1.14","0.44"
"CLK3","ZNF451",NA,NA
"COIL","LAZSUL",NA,NA
"COIL","NSMCE2",NA,NA
"COIL","PIAS1","5.24","7.61"
"COIL","PIAS2",NA,NA
"COIL","PIAS3",NA,NA
"COIL","PIAS4",NA,NA
"COIL","ZMIZ2",NA,NA
"COIL","ZNF451",NA,NA
"CPSF1","LAZSUL",NA,NA
"CPSF1","NSMCE2",NA,NA
"CPSF1","PIAS1",NA,NA
"CPSF1","PIAS2",NA,NA
"CPSF1","PIAS3",NA,NA
"CPSF1","PIAS4","3.04","2.79"
"CPSF1","ZMIZ2","1.59","1.07"
"CPSF1","ZNF451",NA,NA
"CREB3L1","LAZSUL",NA,NA
"CREB3L1","NSMCE2","4.57","2.98"
"CREB3L1","PIAS1",NA,NA
"CREB3L1","PIAS2",NA,NA
"CREB3L1","PIAS3",NA,NA
"CREB3L1","PIAS4","6.12","5.81"
"CREB3L1","ZMIZ2",NA,NA
"CREB3L1","ZNF451",NA,NA
"CREB3L2","LAZSUL",NA,NA
"CREB3L2","NSMCE2","4.18","2.5"
"CREB3L2","PIAS1",NA,NA
"CREB3L2","PIAS2",NA,NA
"CREB3L2","PIAS3",NA,NA
"CREB3L2","PIAS4","6.49","6.87"
"CREB3L2","ZMIZ2",NA,NA
"CREB3L2","ZNF451",NA,NA
"CSNK1A1","LAZSUL",NA,NA
"CSNK1A1","NSMCE2",NA,NA
"CSNK1A1","PIAS1",NA,NA
"CSNK1A1","PIAS2",NA,NA
"CSNK1A1","PIAS3",NA,NA
"CSNK1A1","PIAS4",NA,NA
"CSNK1A1","ZMIZ2","2.36","3.01"
"CSNK1A1","ZNF451",NA,NA
"CSNK2A1;CSNK2A3","LAZSUL",NA,NA
"CSNK2A1;CSNK2A3","NSMCE2",NA,NA
"CSNK2A1;CSNK2A3","PIAS1",NA,NA
"CSNK2A1;CSNK2A3","PIAS2",NA,NA
"CSNK2A1;CSNK2A3","PIAS3",NA,NA
"CSNK2A1;CSNK2A3","PIAS4",NA,NA
"CSNK2A1;CSNK2A3","ZMIZ2","0.96","2.01"
"CSNK2A1;CSNK2A3","ZNF451",NA,NA
"CTCF","LAZSUL",NA,NA
"CTCF","NSMCE2",NA,NA
"CTCF","PIAS1",NA,NA
"CTCF","PIAS2",NA,NA
"CTCF","PIAS3",NA,NA
"CTCF","PIAS4",NA,NA
"CTCF","ZMIZ2","1.13","0.63"
"CTCF","ZNF451",NA,NA
"CTNNBL1","LAZSUL",NA,NA
"CTNNBL1","NSMCE2",NA,NA
"CTNNBL1","PIAS1",NA,NA
"CTNNBL1","PIAS2",NA,NA
"CTNNBL1","PIAS3",NA,NA
"CTNNBL1","PIAS4",NA,NA
"CTNNBL1","ZMIZ2","2.95","2.33"
"CTNNBL1","ZNF451",NA,NA
"CWC22","LAZSUL",NA,NA
"CWC22","NSMCE2",NA,NA
"CWC22","PIAS1",NA,NA
"CWC22","PIAS2",NA,NA
"CWC22","PIAS3",NA,NA
"CWC22","PIAS4",NA,NA
"CWC22","ZMIZ2","0.49","0.21"
"CWC22","ZNF451",NA,NA
"CWF19L2","LAZSUL",NA,NA
"CWF19L2","NSMCE2",NA,NA
"CWF19L2","PIAS1",NA,NA
"CWF19L2","PIAS2",NA,NA
"CWF19L2","PIAS3",NA,NA
"CWF19L2","PIAS4",NA,NA
"CWF19L2","ZMIZ2","0.34","0.58"
"CWF19L2","ZNF451",NA,NA
"CXorf67","LAZSUL",NA,NA
"CXorf67","NSMCE2",NA,NA
"CXorf67","PIAS1",NA,NA
"CXorf67","PIAS2",NA,NA
"CXorf67","PIAS3",NA,NA
