GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4,ZMIZ2,ZMIZ2,ZMIZ2,ZATT,ZATT,ZATT,Z3,Z3,Z3
ARL1,NaN,NaN,NaN,NaN,NaN,NaN,0.556139547,4.59,4.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARL6IP5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.989608895,1.53,1.14
ARL8A,0.889471727,1.45,3.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARMC8,NaN,NaN,NaN,NaN,NaN,NaN,1.31196349,1.51,2.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARMCX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.443023856,2.13,3.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ASUN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32066845,5.14,3.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATAD2,-0.443068217,2.4,4.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.326995921,5.4,5.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATAD5,-0.379802379,3.87,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728108445,4.92,4.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATF4,-0.08837487,5.89,4.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.264755733,6.37,6.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATF6,-0.098278645,5.9,4.9,NaN,NaN,NaN,NaN,NaN,NaN,0.41617462,1.36,0.6,0.222482797,3.2,5.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATF6B,0.385392318,5.49,5.93,0.81543538,1.48,2.42,NaN,NaN,NaN,NaN,NaN,NaN,0.097219256,6.39,5.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATL1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.140109146,1.81,0.69
ATL2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.159208013,2.11,0.64
ATL3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.609985188,2,0.36
ATP1A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.847332919,1.84,0.31
ATP2B1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.787493818,1.98,1.4
ATP5B,NaN,NaN,NaN,0.829442339,2.12,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATP5J2,NaN,NaN,NaN,NaN,NaN,NaN,0.687956875,1.64,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATP6AP2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.878316172,1.56,0.52
ATP6V0D1,NaN,NaN,NaN,NaN,NaN,NaN,0.804656914,1.38,2.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATP6V1H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.759603058,1.47,0.46
ATRX,0.141903262,1.98,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44698093,4.86,4.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATXN10,NaN,NaN,NaN,NaN,NaN,NaN,0.927594548,1.9,2.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATXN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.075671375,1.7,0.78,NaN,NaN,NaN
ATXN7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.128372296,2.49,1.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AXIN1,NaN,NaN,NaN,NaN,NaN,NaN,0.428487387,1.48,2.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AXIN2,2.913629978,2.71,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B4GALT4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.511070103,1.36,2.65
BARD1,-0.179987841,5.51,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.997029445,5.63,3.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BAX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.041232059,1.68,0.95
BAZ1B,NaN,NaN,NaN,NaN,NaN,NaN,0.275252439,1.76,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BBX,-0.567245385,1.75,2.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.54099958,6.65,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BCAP29,NaN,NaN,NaN,NaN,NaN,NaN,1.071574813,1.74,0.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BCAP31,NaN,NaN,NaN,NaN,NaN,NaN,1.933529461,1.4,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.296359819,1.53,0.35
BCL11B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.356985893,6.93,5.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEND3,0.761383802,4.07,3.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.273924303,3.85,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEND7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.846317054,4.54,4.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHLHE40,0.723621452,5.22,5.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.270326092,6.45,6.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHLHE41,-0.093699636,3.28,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.421590569,5.33,5.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLM,-0.266574566,5.19,4.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.295450413,1.88,2.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMS1,-2.168667277,1.41,0.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.174940221,2.2,1.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BNC2,-0.099195397,5.34,5.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.170594725,5.62,5.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BNIP2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.757007558,1.53,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRAT1,0.220300454,5.09,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRCA1,0.101010429,5.41,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.469067589,4.47,4.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRIX1,NaN,NaN,NaN,0.591625306,1.81,3.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRPF1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.629379873,1.52,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.638693051,1.35,0.27
BST2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.498829219,1.45,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BTN2A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.306447774,1.36,1.66
BUB1,0.104966832,1.69,4.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BYSL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048977204,1.34,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C10orf35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0490885,1.77,1.11
C11orf84,-0.007355068,5.44,6.44,NaN,NaN,NaN,0.123516018,5.32,7.06,NaN,NaN,NaN,-0.148995541,5.14,5.91,NaN,NaN,NaN,NaN,NaN,NaN,-1.071041803,1.79,2.97
C14orf93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.055283043,4.42,4.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C16orf58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111179002,1.4,0.49,NaN,NaN,NaN,NaN,NaN,NaN
C18orf25,-0.127860422,6.05,5.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C20orf27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.851205703,1.5,2.34
C2orf47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.904162374,1.38,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4orf3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.680259876,1.81,1.63
C6orf47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.150437026,2.2,0.56,1.633450097,2.48,0.78
CA12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.335902916,2.44,0.55
CA2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026318869,1.83,3.72,NaN,NaN,NaN
CACHD1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.193483904,1.35,0.7,NaN,NaN,NaN,NaN,NaN,NaN,2.113616584,1.37,1.04,NaN,NaN,NaN
CAD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.504816363,1.32,0.71,NaN,NaN,NaN,NaN,NaN,NaN
CADM3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.707127026,1.8,0.86
CALML5,NaN,NaN,NaN,NaN,NaN,NaN,0.662654814,1.42,1.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CALR,NaN,NaN,NaN,NaN,NaN,NaN,-0.151998713,1.41,1.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAMLG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79657183,5.3,1.49
CANX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.323866057,1.83,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAPZA1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.905024074,3.95,4.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CASC4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.849682864,1.98,1.01
CASP8AP2,0.027455723,4.51,5.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.042878136,5.44,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CASZ1,NaN,NaN,NaN,NaN,NaN,NaN,1.129611042,1.55,2.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CBX2,0.108761642,5.57,4.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.491107868,4.99,4.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CBX4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.491506748,2.49,0.57
CCAR2,-0.140886041,2.51,1.9,NaN,NaN,NaN,-0.182706469,1.34,0.55,0.264226926,1.42,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCDC109B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.295519599,2.13,1.07
CCDC167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.308383546,1.32,2.78,NaN,NaN,NaN
CCDC47,NaN,NaN,NaN,NaN,NaN,NaN,0.694771177,2.82,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCNB1,NaN,NaN,NaN,NaN,NaN,NaN,0.285983589,1.69,3.47,NaN,NaN,NaN,0.177523004,1.55,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCNK,NaN,NaN,NaN,NaN,NaN,NaN,0.097479506,4.16,4.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCNL1,4.663525899,3.05,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.766693163,1.67,0.51
CCNT1,NaN,NaN,NaN,NaN,NaN,NaN,0.418719456,1.73,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCT3,NaN,NaN,NaN,1.273919603,1.48,0.64,NaN,NaN,NaN,NaN,NaN,NaN,0.752347939,4.08,5.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCT4,NaN,NaN,NaN,NaN,NaN,NaN,-0.101239508,1.53,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.830806802,1.71,3.32
