"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"BCL11A","PIAS2",NA,NA,NA
"BCL11A","PIAS3",NA,NA,NA
"BCL11A","PIAS4",2.5,2.22,1.07
"BCL11A","ZMIZ2",NA,NA,NA
"BCL11A","ZNF451",NA,NA,NA
"BCL11B","LAZSUL",NA,NA,NA
"BCL11B","NSMCE2",NA,NA,NA
"BCL11B","PIAS1",NA,NA,NA
"BCL11B","PIAS2",NA,NA,NA
"BCL11B","PIAS3",NA,NA,NA
"BCL11B","PIAS4",6.31,8.18,0.38
"BCL11B","ZMIZ2",NA,NA,NA
"BCL11B","ZNF451",NA,NA,NA
"BCLAF1","LAZSUL",NA,NA,NA
"BCLAF1","NSMCE2",3.06,2.1,-0.93
"BCLAF1","PIAS1",NA,NA,NA
"BCLAF1","PIAS2",NA,NA,NA
"BCLAF1","PIAS3",NA,NA,NA
"BCLAF1","PIAS4",NA,NA,NA
"BCLAF1","ZMIZ2",NA,NA,NA
"BCLAF1","ZNF451",NA,NA,NA
"BEND3","LAZSUL",NA,NA,NA
"BEND3","NSMCE2",1.85,2.1,0.28
"BEND3","PIAS1",NA,NA,NA
"BEND3","PIAS2",NA,NA,NA
"BEND3","PIAS3",NA,NA,NA
"BEND3","PIAS4",3,2.17,0.97
"BEND3","ZMIZ2",NA,NA,NA
"BEND3","ZNF451",NA,NA,NA
"BEND7","LAZSUL",NA,NA,NA
"BEND7","NSMCE2",NA,NA,NA
"BEND7","PIAS1",NA,NA,NA
"BEND7","PIAS2",NA,NA,NA
"BEND7","PIAS3",NA,NA,NA
"BEND7","PIAS4",5.21,3.81,1
"BEND7","ZMIZ2",NA,NA,NA
"BEND7","ZNF451",NA,NA,NA
"BHLHE40","LAZSUL",NA,NA,NA
"BHLHE40","NSMCE2",5.71,7.15,0.21
"BHLHE40","PIAS1",NA,NA,NA
"BHLHE40","PIAS2",NA,NA,NA
"BHLHE40","PIAS3",NA,NA,NA
"BHLHE40","PIAS4",6.76,6.46,0.45
"BHLHE40","ZMIZ2",NA,NA,NA
"BHLHE40","ZNF451",NA,NA,NA
"BHLHE41","LAZSUL",NA,NA,NA
"BHLHE41","NSMCE2",5.52,3.07,-0.14
"BHLHE41","PIAS1",NA,NA,NA
"BHLHE41","PIAS2",NA,NA,NA
"BHLHE41","PIAS3",NA,NA,NA
"BHLHE41","PIAS4",5.65,4.93,0.44
"BHLHE41","ZMIZ2",NA,NA,NA
"BHLHE41","ZNF451",NA,NA,NA
"BLM","LAZSUL",NA,NA,NA
"BLM","NSMCE2",4.32,4.88,-0.33
"BLM","PIAS1",NA,NA,NA
"BLM","PIAS2",NA,NA,NA
"BLM","PIAS3",NA,NA,NA
"BLM","PIAS4",NA,NA,NA
"BLM","ZMIZ2",NA,NA,NA
"BLM","ZNF451",NA,NA,NA
"BMS1","LAZSUL",NA,NA,NA
"BMS1","NSMCE2",1.18,2.54,-1.48
"BMS1","PIAS1",NA,NA,NA
"BMS1","PIAS2",NA,NA,NA
"BMS1","PIAS3",NA,NA,NA
"BMS1","PIAS4",2.71,3.48,0.16
"BMS1","ZMIZ2",NA,NA,NA
"BMS1","ZNF451",NA,NA,NA
"BNC2","LAZSUL",NA,NA,NA
"BNC2","NSMCE2",5.86,7.28,-0.05
"BNC2","PIAS1",NA,NA,NA
"BNC2","PIAS2",NA,NA,NA
"BNC2","PIAS3",NA,NA,NA
"BNC2","PIAS4",5.72,5.31,0.18
"BNC2","ZMIZ2",NA,NA,NA
"BNC2","ZNF451",NA,NA,NA
"BNIP2","LAZSUL",NA,NA,NA
"BNIP2","NSMCE2",NA,NA,NA
"BNIP2","PIAS1",NA,NA,NA
"BNIP2","PIAS2",NA,NA,NA
"BNIP2","PIAS3",NA,NA,NA
"BNIP2","PIAS4",3.52,1.87,0.91
"BNIP2","ZMIZ2",NA,NA,NA
"BNIP2","ZNF451",NA,NA,NA
"BRAT1","LAZSUL",NA,NA,NA
"BRAT1","NSMCE2",1.55,6.2,0.67
"BRAT1","PIAS1",NA,NA,NA
"BRAT1","PIAS2",NA,NA,NA
"BRAT1","PIAS3",NA,NA,NA
"BRAT1","PIAS4",NA,NA,NA
"BRAT1","ZMIZ2",NA,NA,NA
"BRAT1","ZNF451",NA,NA,NA
"BRCA1","LAZSUL",NA,NA,NA
"BRCA1","NSMCE2",6.16,5.29,0.12
"BRCA1","PIAS1",NA,NA,NA
"BRCA1","PIAS2",NA,NA,NA
"BRCA1","PIAS3",NA,NA,NA
"BRCA1","PIAS4",4.23,4.17,0.63
"BRCA1","ZMIZ2",NA,NA,NA
