GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4
NAME,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff
GPAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.547627095,2.2,0.71
GPC1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.535010306,1.54,0.42,NaN,NaN,NaN
GPC4,0.733632717,1.34,1.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRAMD1A,NaN,NaN,NaN,NaN,NaN,NaN,0.86526,1.42,0.22,NaN,NaN,NaN,NaN,NaN,NaN
GTF2I,0.137262217,3.97,9.68,0.283472082,4.84,7.2,0.125665072,2.98,6.42,NaN,NaN,NaN,0.108069869,6.02,9.05
GTF2IRD1,-0.024003969,5.93,7.82,0.281353942,8.03,6.24,-0.129828974,5.04,3.95,NaN,NaN,NaN,0.110325657,6.86,7.03
GTF3C1,NaN,NaN,NaN,NaN,NaN,NaN,0.648950041,1.42,0.71,NaN,NaN,NaN,NaN,NaN,NaN
GTF3C3,NaN,NaN,NaN,NaN,NaN,NaN,0.557287991,1.45,0.24,NaN,NaN,NaN,NaN,NaN,NaN
GTF3C4,NaN,NaN,NaN,NaN,NaN,NaN,0.188070898,4.57,1.05,NaN,NaN,NaN,NaN,NaN,NaN
GTPBP4,-0.601687051,1.68,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTSE1,0.059478872,3.43,3.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HACD1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.598811768,1.79,2.49
HAT1,NaN,NaN,NaN,NaN,NaN,NaN,0.810566493,1.34,0.7,NaN,NaN,NaN,NaN,NaN,NaN
HDAC1,0.548271654,4.11,1.99,0.786451646,2.41,2.38,NaN,NaN,NaN,NaN,NaN,NaN,0.169348013,1.55,3.09
HDAC9,0.33661691,4.08,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HDX,0.352577941,4.14,4.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HEATR1,-0.38244906,1.41,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIPK1,-0.007878248,6.39,5.25,-0.007500686,2.01,3.2,NaN,NaN,NaN,NaN,NaN,NaN,0.293210502,4.84,3.93
HIST1H1A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.767159361,1.51,0.45,NaN,NaN,NaN
HIST1H1C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.367156191,1.69,0.54,NaN,NaN,NaN
HIST1H1D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.471417629,1.4,0.54,NaN,NaN,NaN
HIST1H1E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.471417629,1.4,0.54,NaN,NaN,NaN
"HIST1H2BC,HIST1H2BK,HIST1H2BN,HIST1H2BM,HIST1H2BH,HIST2H2BF,HIST1H2BD,H2BFS",NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BK,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BN,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BM,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BH,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST2H2BF,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BD,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
H2BFS,NaN,NaN,NaN,NaN,NaN,NaN,0.085452037,2.65,0.32,NaN,NaN,NaN,NaN,NaN,NaN
HJURP,-0.023875283,3.76,4.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.228834613,3.78,4.31
