"GENE_NAME","Sumo","Diff","minLogP"
"ARL6IP5","PIAS2",NA,NA
"ARL6IP5","PIAS3",NA,NA
"ARL6IP5","PIAS4",NA,NA
"ARL6IP5","ZMIZ2","1.66","2.65"
"ARL6IP5","ZNF451",NA,NA
"ARMCX1","LAZSUL",NA,NA
"ARMCX1","NSMCE2",NA,NA
"ARMCX1","PIAS1",NA,NA
"ARMCX1","PIAS2",NA,NA
"ARMCX1","PIAS3",NA,NA
"ARMCX1","PIAS4","4.27","8.73"
"ARMCX1","ZMIZ2",NA,NA
"ARMCX1","ZNF451",NA,NA
"ATAD1","LAZSUL",NA,NA
"ATAD1","NSMCE2",NA,NA
"ATAD1","PIAS1",NA,NA
"ATAD1","PIAS2",NA,NA
"ATAD1","PIAS3",NA,NA
"ATAD1","PIAS4",NA,NA
"ATAD1","ZMIZ2","2.42","2.15"
"ATAD1","ZNF451",NA,NA
"ATAD3A","LAZSUL",NA,NA
"ATAD3A","NSMCE2",NA,NA
"ATAD3A","PIAS1","4.7","9.27"
"ATAD3A","PIAS2",NA,NA
"ATAD3A","PIAS3",NA,NA
"ATAD3A","PIAS4",NA,NA
"ATAD3A","ZMIZ2",NA,NA
"ATAD3A","ZNF451",NA,NA
"ATAD5","LAZSUL",NA,NA
"ATAD5","NSMCE2",NA,NA
"ATAD5","PIAS1",NA,NA
"ATAD5","PIAS2",NA,NA
"ATAD5","PIAS3",NA,NA
"ATAD5","PIAS4","4.47","8"
"ATAD5","ZMIZ2",NA,NA
"ATAD5","ZNF451",NA,NA
"ATF4","LAZSUL",NA,NA
"ATF4","NSMCE2","5.07","3.23"
"ATF4","PIAS1",NA,NA
"ATF4","PIAS2",NA,NA
"ATF4","PIAS3",NA,NA
"ATF4","PIAS4","6.47","5.69"
"ATF4","ZMIZ2",NA,NA
"ATF4","ZNF451",NA,NA
"ATF6","LAZSUL",NA,NA
"ATF6","NSMCE2",NA,NA
"ATF6","PIAS1",NA,NA
"ATF6","PIAS2",NA,NA
"ATF6","PIAS3",NA,NA
"ATF6","PIAS4","3.61","5.04"
"ATF6","ZMIZ2",NA,NA
"ATF6","ZNF451",NA,NA
"ATF6B","LAZSUL",NA,NA
"ATF6B","NSMCE2","3.92","3.03"
"ATF6B","PIAS1",NA,NA
"ATF6B","PIAS2",NA,NA
"ATF6B","PIAS3",NA,NA
"ATF6B","PIAS4",NA,NA
"ATF6B","ZMIZ2",NA,NA
"ATF6B","ZNF451",NA,NA
"ATP13A1","LAZSUL",NA,NA
"ATP13A1","NSMCE2",NA,NA
"ATP13A1","PIAS1",NA,NA
"ATP13A1","PIAS2",NA,NA
"ATP13A1","PIAS3",NA,NA
"ATP13A1","PIAS4",NA,NA
"ATP13A1","ZMIZ2","1.81","2.9"
"ATP13A1","ZNF451",NA,NA
"ATP5A1","LAZSUL",NA,NA
"ATP5A1","NSMCE2",NA,NA
"ATP5A1","PIAS1","5.09","3.37"
"ATP5A1","PIAS2",NA,NA
"ATP5A1","PIAS3",NA,NA
"ATP5A1","PIAS4",NA,NA
"ATP5A1","ZMIZ2",NA,NA
"ATP5A1","ZNF451",NA,NA
"ATP5B","LAZSUL",NA,NA
"ATP5B","NSMCE2",NA,NA
"ATP5B","PIAS1","4.3","3.04"
"ATP5B","PIAS2",NA,NA
"ATP5B","PIAS3",NA,NA
"ATP5B","PIAS4",NA,NA
"ATP5B","ZMIZ2",NA,NA
"ATP5B","ZNF451",NA,NA
"ATP5L","LAZSUL",NA,NA
"ATP5L","NSMCE2",NA,NA
