"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"CBL","PIAS1",NA,NA,NA
"CBL","PIAS2",NA,NA,NA
"CBL","PIAS3",NA,NA,NA
"CBL","PIAS4",NA,NA,NA
"CBX2","NSMCE2",4.56,4.08,-0.01
"CBX2","PIAS1",NA,NA,NA
"CBX2","PIAS2",NA,NA,NA
"CBX2","PIAS3",NA,NA,NA
"CBX2","PIAS4",NA,NA,NA
"CCDC47","NSMCE2",NA,NA,NA
"CCDC47","PIAS1",NA,NA,NA
"CCDC47","PIAS2",0.96,4.16,0.21
"CCDC47","PIAS3",NA,NA,NA
"CCDC47","PIAS4",NA,NA,NA
"CCNK","NSMCE2",NA,NA,NA
"CCNK","PIAS1",NA,NA,NA
"CCNK","PIAS2",0.71,2.99,0.03
"CCNK","PIAS3",NA,NA,NA
"CCNK","PIAS4",NA,NA,NA
"CCSMST1","NSMCE2",NA,NA,NA
"CCSMST1","PIAS1",NA,NA,NA
"CCSMST1","PIAS2",2.71,3.53,0.63
"CCSMST1","PIAS3",NA,NA,NA
"CCSMST1","PIAS4",NA,NA,NA
"CCT8","NSMCE2",NA,NA,NA
"CCT8","PIAS1",NA,NA,NA
"CCT8","PIAS2",0.82,1.55,0.76
"CCT8","PIAS3",NA,NA,NA
"CCT8","PIAS4",NA,NA,NA
"CCZ1B;CCZ1","NSMCE2",NA,NA,NA
"CCZ1B;CCZ1","PIAS1",NA,NA,NA
"CCZ1B;CCZ1","PIAS2",2.19,1.57,0.29
"CCZ1B;CCZ1","PIAS3",NA,NA,NA
"CCZ1B;CCZ1","PIAS4",NA,NA,NA
"CDC2;CDK1","NSMCE2",2.79,1.81,-0.28
"CDC2;CDK1","PIAS1",2.83,1.95,-0.04
"CDC2;CDK1","PIAS2",NA,NA,NA
"CDC2;CDK1","PIAS3",NA,NA,NA
"CDC2;CDK1","PIAS4",3.66,2.53,0.16
"CDC23","NSMCE2",NA,NA,NA
"CDC23","PIAS1",NA,NA,NA
"CDC23","PIAS2",2.05,1.7,0.02
"CDC23","PIAS3",NA,NA,NA
"CDC23","PIAS4",NA,NA,NA
"CDC42","NSMCE2",NA,NA,NA
"CDC42","PIAS1",NA,NA,NA
"CDC42","PIAS2",0.81,2.62,0.42
"CDC42","PIAS3",NA,NA,NA
