"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ALG1","ZNF451",NA,NA,NA
"ALG1","ZMIZ2",NA,NA,NA
"ALG2","NSMCE2",NA,NA,NA
"ALG2","PIAS1",NA,NA,NA
"ALG2","PIAS2",3.87,4.93,0.766009742
"ALG2","PIAS3",NA,NA,NA
"ALG2","PIAS4",NA,NA,NA
"ALG2","LAZSUL",NA,NA,NA
"ALG2","ZNF451",NA,NA,NA
"ALG2","ZMIZ2",NA,NA,NA
"ALG5","NSMCE2",NA,NA,NA
"ALG5","PIAS1",NA,NA,NA
"ALG5","PIAS2",NA,NA,NA
"ALG5","PIAS3",NA,NA,NA
"ALG5","PIAS4",NA,NA,NA
"ALG5","LAZSUL",0.47,1.93,2.060827925
"ALG5","ZNF451",NA,NA,NA
"ALG5","ZMIZ2",NA,NA,NA
"ALKBH5","NSMCE2",NA,NA,NA
"ALKBH5","PIAS1",NA,NA,NA
"ALKBH5","PIAS2",NA,NA,NA
"ALKBH5","PIAS3",NA,NA,NA
"ALKBH5","PIAS4",3.85,4.15,0.955844754
"ALKBH5","LAZSUL",NA,NA,NA
"ALKBH5","ZNF451",NA,NA,NA
"ALKBH5","ZMIZ2",NA,NA,NA
"AMOT","NSMCE2",NA,NA,NA
"AMOT","PIAS1",NA,NA,NA
"AMOT","PIAS2",0.28,2.12,1.524082513
"AMOT","PIAS3",0.26,1.35,0.666232925
"AMOT","PIAS4",NA,NA,NA
"AMOT","LAZSUL",NA,NA,NA
"AMOT","ZNF451",0.8,1.32,1.454182676
"AMOT","ZMIZ2",NA,NA,NA
"ANAPC5","NSMCE2",NA,NA,NA
"ANAPC5","PIAS1",NA,NA,NA
"ANAPC5","PIAS2",1.88,1.8,1.094440182
"ANAPC5","PIAS3",NA,NA,NA
"ANAPC5","PIAS4",NA,NA,NA
"ANAPC5","LAZSUL",NA,NA,NA
"ANAPC5","ZNF451",NA,NA,NA
"ANAPC5","ZMIZ2",NA,NA,NA
"ANKLE2","NSMCE2",NA,NA,NA
"ANKLE2","PIAS1",3.31,1.53,0.547157493
"ANKLE2","PIAS2",2.36,4.4,0.7036933
"ANKLE2","PIAS3",NA,NA,NA
"ANKLE2","PIAS4",NA,NA,NA
"ANKLE2","LAZSUL",NA,NA,NA
"ANKLE2","ZNF451",1.84,1.32,0.526863475
"ANKLE2","ZMIZ2",NA,NA,NA
"ANKRD1","NSMCE2",4.36,4.15,-0.124735156
"ANKRD1","PIAS1",NA,NA,NA
"ANKRD1","PIAS2",NA,NA,NA
"ANKRD1","PIAS3",NA,NA,NA
"ANKRD1","PIAS4",4.57,5.18,0.224138192
"ANKRD1","LAZSUL",NA,NA,NA
"ANKRD1","ZNF451",NA,NA,NA
"ANKRD1","ZMIZ2",NA,NA,NA
"ANKRD32","NSMCE2",NA,NA,NA
"ANKRD32","PIAS1",NA,NA,NA
"ANKRD32","PIAS2",NA,NA,NA
"ANKRD32","PIAS3",NA,NA,NA
"ANKRD32","PIAS4",2.16,1.68,0.010163734
"ANKRD32","LAZSUL",NA,NA,NA
"ANKRD32","ZNF451",NA,NA,NA
"ANKRD32","ZMIZ2",NA,NA,NA
"ANP32E","NSMCE2",5.31,5.71,0.127645648
