GENE_NAME,Sumo,Diff,minLogP
MAFG,PIAS1,NA,NA
MAFK,PIAS1,NA,NA
MAGED4,PIAS1,NA,NA
MATR3,PIAS1,NA,NA
MBD1,PIAS1,NA,NA
MED6,PIAS1,NA,NA
MGA,PIAS1,NA,NA
MIS18BP1,PIAS1,NA,NA
MKI67,PIAS1,NA,NA
MORC2,PIAS1,NA,NA
MORC3,PIAS1,NA,NA
MPHOSPH10,PIAS1,NA,NA
MSANTD4,PIAS1,NA,NA
MVP,PIAS1,NA,NA
NAB2,PIAS1,NA,NA
NFIL3,PIAS1,NA,NA
NHP2,PIAS1,NA,NA
NIFK,PIAS1,NA,NA
NOL10,PIAS1,NA,NA
NOP2,PIAS1,NA,NA
NOP58,PIAS1,NA,NA
NOVA2,PIAS1,NA,NA
NPAT,PIAS1,NA,NA
NR3C1,PIAS1,NA,NA
NUMA1,PIAS1,NA,NA
OGDH,PIAS1,NA,NA
PHF21A,PIAS1,NA,NA
PIAS1,PIAS1,9.21,5.23
PIAS2,PIAS1,NA,NA
PIAS3,PIAS1,NA,NA
PLOD3,PIAS1,NA,NA
PML,PIAS1,NA,NA
PML-11,PIAS1,NA,NA
PNN,PIAS1,NA,NA
POLR3D,PIAS1,NA,NA
PTGFRN,PIAS1,1.51,2.96
PTRF,PIAS1,NA,NA
RAD18,PIAS1,NA,NA
RAD54L2,PIAS1,NA,NA
RANGAP1,PIAS1,NA,NA
RBBP6,PIAS1,NA,NA
RBM25,PIAS1,NA,NA
RBM28,PIAS1,NA,NA
RNF216,PIAS1,NA,NA
RPL13,PIAS1,NA,NA
RPS27A,PIAS1,NA,NA
RRP15,PIAS1,NA,NA
RRS1,PIAS1,NA,NA
RSF1,PIAS1,NA,NA
RSL1D1,PIAS1,NA,NA
SAP130,PIAS1,NA,NA
SART1,PIAS1,NA,NA
SEC61A1,PIAS1,NA,NA
SETX,PIAS1,NA,NA
SLX4,PIAS1,NA,NA
SLX4IP,PIAS1,NA,NA
SMARCC1,PIAS1,NA,NA
SNIP1,PIAS1,NA,NA
SNW1,PIAS1,NA,NA
SOD1,PIAS1,NA,NA
SP100,PIAS1,NA,NA
SPRTN,PIAS1,NA,NA
SRRM1,PIAS1,NA,NA
SUMO1,PIAS1,NA,NA
SUMO2,PIAS1,NA,NA
SUMO3,PIAS1,NA,NA
TARDBP;TDP43,PIAS1,NA,NA
TCOF1,PIAS1,NA,NA
TERF2IP,PIAS1,NA,NA
TNRC18,PIAS1,NA,NA
TOP2A,PIAS1,NA,NA
TOP2B,PIAS1,NA,NA
TOPORS,PIAS1,NA,NA
TRIM28,PIAS1,NA,NA
TRIM33,PIAS1,NA,NA
USP39,PIAS1,NA,NA
UTP14A,PIAS1,NA,NA
UTP18,PIAS1,NA,NA
UTP3,PIAS1,NA,NA
WDR43,PIAS1,NA,NA
WDR75,PIAS1,NA,NA
WIZ,PIAS1,NA,NA
XRCC5,PIAS1,NA,NA
YEATS2,PIAS1,NA,NA
ZBTB1,PIAS1,NA,NA
ZBTB12,PIAS1,NA,NA
ZBTB2,PIAS1,NA,NA
ZBTB20,PIAS1,NA,NA
ZBTB25,PIAS1,NA,NA
ZBTB33,PIAS1,NA,NA
ZBTB38,PIAS1,NA,NA
ZBTB5,PIAS1,NA,NA
ZBTB9,PIAS1,NA,NA
ZC3H11A,PIAS1,NA,NA
ZCCHC7,PIAS1,NA,NA
ZFR,PIAS1,NA,NA
ZMYM2,PIAS1,NA,NA
ZMYM4,PIAS1,NA,NA
ZMYND8,PIAS1,NA,NA
ZNF106,PIAS1,NA,NA
ZNF131,PIAS1,NA,NA
ZNF251,PIAS1,NA,NA
ZNF280C,PIAS1,NA,NA
ZNF318,PIAS1,NA,NA
ZNF445,PIAS1,NA,NA
ZNF451,PIAS1,NA,NA
ZNF451-3,PIAS1,NA,NA
